Date,Close,High,Low,Open,Volume
2021-02-04,8122.60009765625,8122.60009765625,8005.39990234375,8031.39990234375,241673000
2021-02-05,8214.7001953125,8227.2001953125,8107.2998046875,8129.7998046875,261535200
2021-02-08,8219.0,8260.2998046875,8187.89990234375,8251.7998046875,203539900
2021-02-09,8101.0,8219.0,8090.7998046875,8216.7998046875,159552300
2021-02-10,8065.39990234375,8144.2998046875,8026.89990234375,8127.2001953125,170296200
2021-02-11,8037.60009765625,8095.10009765625,8008.2001953125,8067.10009765625,136461900
2021-02-12,8055.0,8055.0,7921.2998046875,8025.0,157832900
2021-02-15,8203.5,8218.599609375,8108.2001953125,8124.39990234375,193906300
2021-02-16,8153.7001953125,8222.2998046875,8129.2001953125,8215.099609375,164686700
2021-02-17,8122.7001953125,8176.2998046875,8073.89990234375,8140.7998046875,190607900
2021-02-18,8058.10009765625,8168.60009765625,8045.2998046875,8133.5,151455500
2021-02-19,8151.60009765625,8172.60009765625,8016.10009765625,8066.7001953125,209007000
2021-02-22,8112.2001953125,8126.2998046875,8045.2998046875,8119.60009765625,221465900
2021-02-23,8252.099609375,8259.900390625,8107.60009765625,8128.0,293160800
2021-02-24,8269.599609375,8311.5,8205.2001953125,8266.599609375,225852700
2021-02-25,8317.7998046875,8387.0,8310.7001953125,8331.2001953125,309755000
2021-02-26,8225.0,8377.099609375,8166.2998046875,8218.599609375,291865800
2021-03-01,8378.099609375,8395.900390625,8291.2998046875,8324.599609375,182097000
2021-03-02,8355.7998046875,8436.5,8328.599609375,8360.900390625,177712100
2021-03-03,8329.2998046875,8466.599609375,8278.5,8397.599609375,240923800
2021-03-04,8354.0,8382.2001953125,8273.900390625,8285.099609375,207044300
2021-03-05,8286.7998046875,8387.099609375,8239.7001953125,8322.099609375,259819800
2021-03-08,8444.2001953125,8458.400390625,8307.5,8358.0,235094900
2021-03-09,8496.400390625,8516.2001953125,8416.0,8446.2998046875,281898000
